timestamp_start,timestamp_end,target,ip_protocol,packet_loss,packets_send,ping_avg,ping_worst,ping_best,ping_stddev,average_speed
2024-01-11 09:43:20,2024-01-11 09:43:45,131.173.23.81,v4,0.4,250,57.737,106.493,46.1,8.18,0
2024-01-11 09:45:20,2024-01-11 09:45:45,131.173.23.81,v4,0.8,250,54.793,84.31,44.659,6.107,0
2024-01-11 09:46:58,2024-01-11 09:47:23,131.173.23.81,v4,0.4,250,55.472,122.926,46.734,8.57,0
2024-01-11 09:48:36,2024-01-11 09:49:01,131.173.23.81,v4,0.8,250,66.633,135.091,44.801,12.316,0
2024-01-11 09:50:13,2024-01-11 09:50:38,131.173.23.81,v4,0.4,250,58.466,84.525,46.873,7.22,0
2024-01-11 09:52:21,2024-01-11 09:52:46,131.173.23.81,v4,2,250,65.405,319.565,50.479,20.724,0
2024-01-11 09:54:29,2024-01-11 09:54:54,131.173.23.81,v4,1.2,250,67.537,305.539,43.824,25.585,0
2024-01-11 09:56:30,2024-01-11 09:56:55,131.173.23.81,v4,0.8,250,54.012,435.486,43.68,33.2,0
2024-01-11 10:06:56,2024-01-11 10:07:21,131.173.23.81,v4,8.8,250,65.853,406.593,47.716,35.213,0
2024-01-11 10:08:16,2024-01-11 10:08:41,131.173.23.81,v4,0.4,250,62.673,102.713,46.206,11.046,0
2024-01-11 10:09:27,2024-01-11 10:09:52,131.173.23.81,v4,7.2,250,62.358,237.587,47.306,19.804,0
2024-01-11 10:10:23,2024-01-11 10:10:48,131.173.23.81,v4,21.2,250,64.159,449.556,43.156,38.97,0
2024-01-11 10:11:21,2024-01-11 10:11:46,131.173.23.81,v4,0.8,250,70.837,122.01,45.117,18.767,0
2024-01-11 10:12:18,2024-01-11 10:12:43,131.173.23.81,v4,0,250,57.132,103.189,46.27,9.56,0
2024-01-11 10:13:21,2024-01-11 10:13:46,131.173.23.81,v4,1.2,250,57.319,125.314,44.319,9.058,0
2024-01-11 10:14:39,2024-01-11 10:15:04,131.173.23.81,v4,1.6,250,53.189,92.312,47.286,5.398,0
